code,title,unit_id,distance,school_type,school_main_campus,credential_level,4_yr_median_earnings,4_yr_working_count,debt_median,debt_median_payment,school_name
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,1,2,67699.0,59.0,14764.0,157.0,College of Central Florida
5202,"Business Administration, Management and Operations.",132851,1,Public,1,2,30562.0,39.0,14792.0,157.0,College of Central Florida
5202,"Business Administration, Management and Operations.",132851,1,Public,1,3,42159.0,130.0,24238.0,257.0,College of Central Florida
3902,Bible/Biblical Studies.,132879,1,"Private, nonprofit",0,3,36287.0,192.0,23250.0,246.0,Johnson University Florida
3906,Theological and Ministerial Studies.,132879,1,"Private, nonprofit",0,3,34579.0,69.0,23456.0,249.0,Johnson University Florida
3906,Theological and Ministerial Studies.,132879,1,"Private, nonprofit",0,5,35371.0,19.0,20343.0,231.0,Johnson University Florida
5115,Mental and Social Health Services and Allied Professions.,132879,1,"Private, nonprofit",0,3,36014.0,26.0,19767.0,210.0,Johnson University Florida
5202,"Business Administration, Management and Operations.",132879,1,"Private, nonprofit",0,3,38314.0,20.0,21500.0,228.0,Johnson University Florida
0901,Communication and Media Studies.,132903,2,Public,1,3,38915.0,118.0,17148.0,182.0,University of Central Florida
0907,"Radio, Television, and Digital Communication.",132903,1,Public,1,3,40123.0,52.0,17992.0,191.0,University of Central Florida
0909,"Public Relations, Advertising, and Applied Communication.",132903,1,Public,1,3,44367.0,46.0,17883.0,190.0,University of Central Florida
1101,"Computer and Information Sciences, General.",132903,1,Public,1,3,78429.0,108.0,20160.0,214.0,University of Central Florida
1304,Educational Administration and Supervision.,132903,1,Public,1,5,52362.0,47.0,33348.0,379.0,University of Central Florida
1311,Student Counseling and Personnel Services.,132903,1,Public,1,5,47955.0,37.0,44706.0,509.0,University of Central Florida
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132903,1,Public,1,3,45627.0,232.0,18750.0,199.0,University of Central Florida
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,1,Public,1,3,45156.0,169.0,18691.0,198.0,University of Central Florida
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132903,1,Public,1,5,53998.0,37.0,31249.0,355.0,University of Central Florida
1402,"Aerospace, Aeronautical and Astronautical Engineering.",132903,1,Public,1,3,74173.0,42.0,24750.0,262.0,University of Central Florida
1408,Civil Engineering.,132903,1,Public,1,3,74900.0,39.0,20250.0,215.0,University of Central Florida
1409,Computer Engineering.,132903,1,Public,1,3,82542.0,22.0,18750.0,199.0,University of Central Florida
1410,"Electrical, Electronics and Communications Engineering.",132903,1,Public,1,3,88625.0,54.0,22511.0,239.0,University of Central Florida
1419,Mechanical Engineering.,132903,1,Public,1,3,82542.0,103.0,20250.0,215.0,University of Central Florida
1435,Industrial Engineering.,132903,1,Public,1,3,78467.0,24.0,23269.0,247.0,University of Central Florida
1515,Engineering-Related Fields.,132903,3,Public,1,5,143537.0,22.0,24014.0,273.0,University of Central Florida
2301,"English Language and Literature, General.",132903,3,Public,1,3,38627.0,74.0,16750.0,178.0,University of Central Florida
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132903,1,Public,1,3,47044.0,283.0,13856.0,147.0,University of Central Florida
2601,"Biology, General.",132903,1,Public,1,3,37529.0,95.0,20104.0,213.0,University of Central Florida
3000,"Multi-/Interdisciplinary Studies, General.",132903,3,Public,1,3,42841.0,150.0,19408.0,206.0,University of Central Florida
3020,International/Global Studies.,132903,3,Public,1,3,51256.0,23.0,14284.0,151.0,University of Central Florida
4201,"Psychology, General.",132903,3,Public,1,3,37946.0,350.0,16000.0,170.0,University of Central Florida
4301,Criminal Justice and Corrections.,132903,2,Public,1,3,41772.0,118.0,16750.0,178.0,University of Central Florida
4301,Criminal Justice and Corrections.,132903,3,Public,1,5,46518.0,24.0,39367.0,448.0,University of Central Florida
4404,Public Administration.,132903,1,Public,1,3,48198.0,24.0,16875.0,179.0,University of Central Florida
4404,Public Administration.,132903,3,Public,1,5,54361.0,31.0,36780.0,418.0,University of Central Florida
4407,Social Work.,132903,1,Public,1,3,40284.0,81.0,18562.0,197.0,University of Central Florida
4407,Social Work.,132903,3,Public,1,5,47930.0,82.0,39107.0,445.0,University of Central Florida
4502,Anthropology.,132903,3,Public,1,3,27017.0,17.0,18787.0,199.0,University of Central Florida
4510,Political Science and Government.,132903,3,Public,1,3,46447.0,84.0,17750.0,188.0,University of Central Florida
4511,Sociology.,132903,3,Public,1,3,44436.0,47.0,22606.0,240.0,University of Central Florida
5001,"Visual and Performing Arts, General.",132903,1,Public,1,3,41124.0,29.0,22481.0,238.0,University of Central Florida
5005,Drama/Theatre Arts and Stagecraft.,132903,1,Public,1,3,25943.0,20.0,19500.0,207.0,University of Central Florida
5006,Film/Video and Photographic Arts.,132903,1,Public,1,3,33144.0,48.0,19839.0,210.0,University of Central Florida
5007,Fine and Studio Arts.,132903,1,Public,1,3,39134.0,80.0,20000.0,212.0,University of Central Florida
5009,Music.,132903,1,Public,1,3,31200.0,18.0,14845.0,157.0,University of Central Florida
5100,"Health Services/Allied Health/Health Sciences, General.",132903,1,Public,1,3,44500.0,88.0,19250.0,204.0,University of Central Florida
5100,"Health Services/Allied Health/Health Sciences, General.",132903,3,Public,1,5,72650.0,16.0,45474.0,517.0,University of Central Florida
5102,Communication Disorders Sciences and Services.,132903,1,Public,1,3,44200.0,64.0,18500.0,196.0,University of Central Florida
5102,Communication Disorders Sciences and Services.,132903,1,Public,1,5,67595.0,20.0,50337.0,573.0,University of Central Florida
5107,Health and Medical Administrative Services.,132903,1,Public,1,3,47867.0,110.0,17903.0,190.0,University of Central Florida
5107,Health and Medical Administrative Services.,132903,3,Public,1,5,75693.0,22.0,48000.0,546.0,University of Central Florida
5123,Rehabilitation and Therapeutic Professions.,132903,0,Public,1,6,72576.0,27.0,84816.0,965.0,University of Central Florida
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132903,2,Public,1,3,68602.0,172.0,13366.0,142.0,University of Central Florida
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132903,3,Public,1,5,112560.0,21.0,27242.0,310.0,University of Central Florida
5201,"Business/Commerce, General.",132903,1,Public,1,3,54536.0,71.0,17992.0,191.0,University of Central Florida
5201,"Business/Commerce, General.",132903,1,Public,1,5,94617.0,53.0,40236.0,458.0,University of Central Florida
5202,"Business Administration, Management and Operations.",132903,1,Public,1,3,55831.0,113.0,16500.0,175.0,University of Central Florida
5203,Accounting and Related Services.,132903,1,Public,1,3,68209.0,126.0,17750.0,188.0,University of Central Florida
5203,Accounting and Related Services.,132903,1,Public,1,5,79125.0,24.0,17950.0,204.0,University of Central Florida
5206,Business/Managerial Economics.,132903,1,Public,1,3,65911.0,22.0,18914.0,201.0,University of Central Florida
5208,Finance and Financial Management Services.,132903,1,Public,1,3,66928.0,170.0,17584.0,186.0,University of Central Florida
5209,Hospitality Administration/Management.,132903,2,Public,1,3,37580.0,267.0,18250.0,193.0,University of Central Florida
5214,Marketing.,132903,1,Public,1,3,52337.0,137.0,20000.0,212.0,University of Central Florida
5401,History.,132903,3,Public,1,3,38679.0,34.0,18890.0,200.0,University of Central Florida
1101,"Computer and Information Sciences, General.",133386,3,Public,1,3,77581.0,20.0,20206.0,214.0,Daytona State College
1204,Cosmetology and Related Personal Grooming Services.,133386,1,Public,1,1,18615.0,73.0,5500.0,58.0,Daytona State College
1205,Culinary Arts and Related Services.,133386,1,Public,1,2,23066.0,33.0,11279.0,120.0,Daytona State College
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",133386,1,Public,1,3,43108.0,45.0,17073.0,181.0,Daytona State College
1599,"Engineering Technologies/Technicians, Other.",133386,3,Public,1,3,55610.0,46.0,12725.0,135.0,Daytona State College
2401,"Liberal Arts and Sciences, General Studies and Humanities.",133386,3,Public,1,2,31838.0,900.0,6750.0,72.0,Daytona State College
4301,Criminal Justice and Corrections.,133386,1,Public,1,1,49543.0,144.0,4446.0,47.0,Daytona State College
5006,Film/Video and Photographic Arts.,133386,1,Public,1,2,22339.0,34.0,9188.0,97.0,Daytona State College
5108,Allied Health and Medical Assisting Services.,133386,1,Public,1,2,35789.0,66.0,10578.0,112.0,Daytona State College
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",133386,1,Public,1,1,51952.0,52.0,5500.0,58.0,Daytona State College
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",133386,1,Public,1,2,46420.0,73.0,10406.0,110.0,Daytona State College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133386,1,Public,1,2,60287.0,249.0,11222.0,119.0,Daytona State College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133386,3,Public,1,3,74524.0,64.0,12781.0,135.0,Daytona State College
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",133386,1,Public,1,1,36996.0,69.0,10500.0,111.0,Daytona State College
5202,"Business Administration, Management and Operations.",133386,1,Public,1,2,36981.0,32.0,9611.0,102.0,Daytona State College
5202,"Business Administration, Management and Operations.",133386,3,Public,1,3,41945.0,358.0,15071.0,160.0,Daytona State College
2203,Legal Support Services.,133465,1,"Private, for-profit",0,2,36422.0,52.0,25936.0,275.0,South University-West Palm Beach
2203,Legal Support Services.,133465,0,"Private, for-profit",0,3,38332.0,71.0,44464.0,471.0,South University-West Palm Beach
4201,"Psychology, General.",133465,1,"Private, for-profit",0,3,36910.0,151.0,44548.0,472.0,South University-West Palm Beach
4301,Criminal Justice and Corrections.,133465,1,"Private, for-profit",0,3,42478.0,175.0,42354.0,449.0,South University-West Palm Beach
4301,Criminal Justice and Corrections.,133465,1,"Private, for-profit",0,5,37597.0,82.0,41000.0,466.0,South University-West Palm Beach
5107,Health and Medical Administrative Services.,133465,1,"Private, for-profit",0,3,40160.0,247.0,39675.0,421.0,South University-West Palm Beach
5107,Health and Medical Administrative Services.,133465,1,"Private, for-profit",0,5,54350.0,190.0,41000.0,466.0,South University-West Palm Beach
5108,Allied Health and Medical Assisting Services.,133465,1,"Private, for-profit",0,2,43365.0,535.0,23000.0,244.0,South University-West Palm Beach
5115,Mental and Social Health Services and Allied Professions.,133465,1,"Private, for-profit",0,5,43411.0,178.0,62262.0,708.0,South University-West Palm Beach
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133465,1,"Private, for-profit",0,3,78626.0,1607.0,23592.0,250.0,South University-West Palm Beach
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133465,1,"Private, for-profit",0,5,106747.0,1269.0,59405.0,676.0,South University-West Palm Beach
5202,"Business Administration, Management and Operations.",133465,1,"Private, for-profit",0,3,48439.0,358.0,46000.0,488.0,South University-West Palm Beach
5202,"Business Administration, Management and Operations.",133465,1,"Private, for-profit",0,5,55109.0,286.0,46193.0,525.0,South University-West Palm Beach
0301,Natural Resources Conservation and Research.,133492,1,"Private, nonprofit",1,3,36542.0,56.0,24500.0,260.0,Eckerd College
0901,Communication and Media Studies.,133492,1,"Private, nonprofit",1,3,36282.0,25.0,20500.0,217.0,Eckerd College
1609,"Romance Languages, Literatures, and Linguistics.",133492,1,"Private, nonprofit",1,3,31227.0,17.0,25490.0,270.0,Eckerd College
2601,"Biology, General.",133492,1,"Private, nonprofit",1,3,29623.0,35.0,27000.0,286.0,Eckerd College
2613,"Ecology, Evolution, Systematics, and Population Biology.",133492,1,"Private, nonprofit",1,3,35078.0,52.0,27000.0,286.0,Eckerd College
4201,"Psychology, General.",133492,1,"Private, nonprofit",1,3,37904.0,38.0,27000.0,286.0,Eckerd College
4227,Research and Experimental Psychology.,133492,1,"Private, nonprofit",1,3,40112.0,29.0,21000.0,223.0,Eckerd College
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",133508,1,Public,1,3,47028.0,84.0,10519.0,112.0,Florida SouthWestern State College
2401,"Liberal Arts and Sciences, General Studies and Humanities.",133508,3,Public,1,2,39129.0,880.0,7000.0,74.0,Florida SouthWestern State College
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",133508,2,Public,1,2,58498.0,103.0,9000.0,95.0,Florida SouthWestern State College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133508,2,Public,1,2,63939.0,230.0,9000.0,95.0,Florida SouthWestern State College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133508,2,Public,1,3,79301.0,80.0,11250.0,119.0,Florida SouthWestern State College
5202,"Business Administration, Management and Operations.",133508,1,Public,1,2,43564.0,37.0,10353.0,110.0,Florida SouthWestern State College
5202,"Business Administration, Management and Operations.",133508,3,Public,1,3,50226.0,112.0,14051.0,149.0,Florida SouthWestern State College
1402,"Aerospace, Aeronautical and Astronautical Engineering.",133553,1,"Private, nonprofit",1,3,86529.0,202.0,26312.0,279.0,Embry-Riddle Aeronautical University-Daytona Beach
1409,Computer Engineering.,133553,1,"Private, nonprofit",1,3,88652.0,18.0,26293.0,279.0,Embry-Riddle Aeronautical University-Daytona Beach
1419,Mechanical Engineering.,133553,1,"Private, nonprofit",1,3,77804.0,36.0,26196.0,278.0,Embry-Riddle Aeronautical University-Daytona Beach
1427,Systems Engineering.,133553,1,"Private, nonprofit",1,5,148622.0,16.0,34021.0,387.0,Embry-Riddle Aeronautical University-Daytona Beach
4228,"Clinical, Counseling and Applied Psychology.",133553,1,"Private, nonprofit",1,3,71212.0,22.0,23733.0,252.0,Embry-Riddle Aeronautical University-Daytona Beach
4303,Homeland Security.,133553,1,"Private, nonprofit",1,3,64823.0,45.0,20500.0,217.0,Embry-Riddle Aeronautical University-Daytona Beach
4509,International Relations and National Security Studies.,133553,0,"Private, nonprofit",1,3,56612.0,25.0,22500.0,239.0,Embry-Riddle Aeronautical University-Daytona Beach
4706,Vehicle Maintenance and Repair Technologies.,133553,0,"Private, nonprofit",1,2,76825.0,60.0,15375.0,163.0,Embry-Riddle Aeronautical University-Daytona Beach
4706,Vehicle Maintenance and Repair Technologies.,133553,0,"Private, nonprofit",1,3,85596.0,91.0,22662.0,240.0,Embry-Riddle Aeronautical University-Daytona Beach
4901,Air Transportation.,133553,1,"Private, nonprofit",1,2,66388.0,53.0,18750.0,199.0,Embry-Riddle Aeronautical University-Daytona Beach
4901,Air Transportation.,133553,1,"Private, nonprofit",1,3,72710.0,629.0,23250.0,246.0,Embry-Riddle Aeronautical University-Daytona Beach
4901,Air Transportation.,133553,1,"Private, nonprofit",1,5,92094.0,218.0,37674.0,429.0,Embry-Riddle Aeronautical University-Daytona Beach
5202,"Business Administration, Management and Operations.",133553,0,"Private, nonprofit",1,2,63527.0,26.0,22925.0,243.0,Embry-Riddle Aeronautical University-Daytona Beach
5202,"Business Administration, Management and Operations.",133553,1,"Private, nonprofit",1,3,77767.0,197.0,22405.0,238.0,Embry-Riddle Aeronautical University-Daytona Beach
5202,"Business Administration, Management and Operations.",133553,1,"Private, nonprofit",1,5,97901.0,169.0,36711.0,418.0,Embry-Riddle Aeronautical University-Daytona Beach
0100,"Agriculture, General.",133650,1,Public,1,3,36602.0,21.0,14000.0,148.0,Florida Agricultural and Mechanical University
0402,Architecture.,133650,1,Public,1,3,62308.0,32.0,26000.0,276.0,Florida Agricultural and Mechanical University
0904,Journalism.,133650,1,Public,1,3,36231.0,63.0,26125.0,277.0,Florida Agricultural and Mechanical University
0909,"Public Relations, Advertising, and Applied Communication.",133650,1,Public,1,3,36510.0,48.0,26000.0,276.0,Florida Agricultural and Mechanical University
1101,"Computer and Information Sciences, General.",133650,1,Public,1,3,59031.0,50.0,23125.0,245.0,Florida Agricultural and Mechanical University
1510,Construction Engineering Technologies.,133650,1,Public,1,3,81712.0,21.0,31000.0,329.0,Florida Agricultural and Mechanical University
2201,Law.,133650,1,Public,1,7,60633.0,183.0,115500.0,1314.0,Florida Agricultural and Mechanical University
2601,"Biology, General.",133650,1,Public,1,3,42723.0,42.0,27251.0,289.0,Florida Agricultural and Mechanical University
3000,"Multi-/Interdisciplinary Studies, General.",133650,1,Public,1,3,34744.0,95.0,27500.0,292.0,Florida Agricultural and Mechanical University
4201,"Psychology, General.",133650,1,Public,1,3,34504.0,84.0,22375.0,237.0,Florida Agricultural and Mechanical University
4301,Criminal Justice and Corrections.,133650,1,Public,1,3,38281.0,128.0,23250.0,246.0,Florida Agricultural and Mechanical University
4407,Social Work.,133650,1,Public,1,3,39540.0,63.0,22500.0,239.0,Florida Agricultural and Mechanical University
4501,"Social Sciences, General.",133650,1,Public,1,5,46044.0,25.0,26138.0,297.0,Florida Agricultural and Mechanical University
4510,Political Science and Government.,133650,1,Public,1,3,39730.0,35.0,27000.0,286.0,Florida Agricultural and Mechanical University
4511,Sociology.,133650,1,Public,1,3,31111.0,18.0,18228.0,193.0,Florida Agricultural and Mechanical University
5004,Design and Applied Arts.,133650,1,Public,1,3,38389.0,21.0,26125.0,277.0,Florida Agricultural and Mechanical University
5100,"Health Services/Allied Health/Health Sciences, General.",133650,1,Public,1,3,36452.0,181.0,25750.0,273.0,Florida Agricultural and Mechanical University
5107,Health and Medical Administrative Services.,133650,1,Public,1,3,37325.0,68.0,26208.0,278.0,Florida Agricultural and Mechanical University
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",133650,1,Public,1,3,66405.0,29.0,26750.0,284.0,Florida Agricultural and Mechanical University
5122,Public Health.,133650,3,Public,1,5,50202.0,19.0,53250.0,606.0,Florida Agricultural and Mechanical University
5123,Rehabilitation and Therapeutic Professions.,133650,1,Public,1,5,60012.0,32.0,79326.0,902.0,Florida Agricultural and Mechanical University
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",133650,1,Public,1,3,69195.0,71.0,21353.0,226.0,Florida Agricultural and Mechanical University
5202,"Business Administration, Management and Operations.",133650,1,Public,1,3,51873.0,144.0,22977.0,244.0,Florida Agricultural and Mechanical University
5202,"Business Administration, Management and Operations.",133650,1,Public,1,5,72823.0,43.0,38655.0,440.0,Florida Agricultural and Mechanical University
0402,Architecture.,133669,1,Public,1,3,60289.0,54.0,30749.0,326.0,Florida Atlantic University
0403,"City/Urban, Community and Regional Planning.",133669,1,Public,1,3,55451.0,21.0,21114.0,224.0,Florida Atlantic University
0901,Communication and Media Studies.,133669,1,Public,1,3,44152.0,144.0,18375.0,195.0,Florida Atlantic University
0907,"Radio, Television, and Digital Communication.",133669,1,Public,1,3,37865.0,145.0,16000.0,170.0,Florida Atlantic University
1101,"Computer and Information Sciences, General.",133669,2,Public,1,3,76851.0,109.0,16988.0,180.0,Florida Atlantic University
1301,"Education, General.",133669,1,Public,1,3,41275.0,63.0,16869.0,179.0,Florida Atlantic University
1304,Educational Administration and Supervision.,133669,2,Public,1,5,62309.0,52.0,25049.0,285.0,Florida Atlantic University
1311,Student Counseling and Personnel Services.,133669,1,Public,1,5,53348.0,33.0,36499.0,415.0,Florida Atlantic University
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",133669,1,Public,1,3,48520.0,266.0,16791.0,178.0,Florida Atlantic University
1313,"Teacher Education and Professional Development, Specific Subject Areas.",133669,1,Public,1,3,49874.0,56.0,22250.0,236.0,Florida Atlantic University
1408,Civil Engineering.,133669,1,Public,1,3,65279.0,48.0,23300.0,247.0,Florida Atlantic University
1409,Computer Engineering.,133669,1,Public,1,3,79158.0,30.0,23000.0,244.0,Florida Atlantic University
1410,"Electrical, Electronics and Communications Engineering.",133669,1,Public,1,3,85244.0,60.0,18425.0,195.0,Florida Atlantic University
1419,Mechanical Engineering.,133669,1,Public,1,3,78738.0,66.0,20875.0,221.0,Florida Atlantic University
1424,Ocean Engineering.,133669,1,Public,1,3,79377.0,22.0,27000.0,286.0,Florida Atlantic University
2301,"English Language and Literature, General.",133669,1,Public,1,3,43321.0,123.0,17750.0,188.0,Florida Atlantic University
2401,"Liberal Arts and Sciences, General Studies and Humanities.",133669,2,Public,1,3,40799.0,107.0,19201.0,204.0,Florida Atlantic University
2601,"Biology, General.",133669,1,Public,1,3,42872.0,219.0,16028.0,170.0,Florida Atlantic University
2601,"Biology, General.",133669,1,Public,1,5,60191.0,19.0,25503.0,290.0,Florida Atlantic University
2701,Mathematics.,133669,1,Public,1,3,52916.0,22.0,19223.0,204.0,Florida Atlantic University
3000,"Multi-/Interdisciplinary Studies, General.",133669,1,Public,1,3,42957.0,111.0,19111.0,203.0,Florida Atlantic University
3105,Health and Physical Education/Fitness.,133669,1,Public,1,3,43317.0,119.0,18117.0,192.0,Florida Atlantic University
4005,Chemistry.,133669,1,Public,1,3,38316.0,24.0,22128.0,235.0,Florida Atlantic University
4201,"Psychology, General.",133669,1,Public,1,3,39411.0,257.0,16048.0,170.0,Florida Atlantic University
4227,Research and Experimental Psychology.,133669,1,Public,1,3,39965.0,37.0,17695.0,188.0,Florida Atlantic University
4301,Criminal Justice and Corrections.,133669,3,Public,1,3,48229.0,373.0,15450.0,164.0,Florida Atlantic University
4399,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",133669,3,Public,1,3,48888.0,50.0,18375.0,195.0,Florida Atlantic University
4404,Public Administration.,133669,3,Public,1,3,53902.0,44.0,17000.0,180.0,Florida Atlantic University
4407,Social Work.,133669,1,Public,1,3,41339.0,152.0,17744.0,188.0,Florida Atlantic University
4502,Anthropology.,133669,1,Public,1,3,26622.0,31.0,18500.0,196.0,Florida Atlantic University
4506,Economics.,133669,1,Public,1,3,56091.0,83.0,18000.0,191.0,Florida Atlantic University
4510,Political Science and Government.,133669,1,Public,1,3,41635.0,110.0,16875.0,179.0,Florida Atlantic University
4511,Sociology.,133669,1,Public,1,3,44291.0,130.0,18500.0,196.0,Florida Atlantic University
5005,Drama/Theatre Arts and Stagecraft.,133669,1,Public,1,3,22950.0,25.0,22250.0,236.0,Florida Atlantic University
5007,Fine and Studio Arts.,133669,1,Public,1,3,34266.0,130.0,13867.0,147.0,Florida Atlantic University
5107,Health and Medical Administrative Services.,133669,1,Public,1,3,46882.0,187.0,15000.0,159.0,Florida Atlantic University
